,1,1.5,2,2.5,3,3.5,4,4.5,5,5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,12.5,13,13.5,14,14.5,15,15.5,16,16.5,17,17.5,18,18.5,19,19.5,20,20.5,21,21.5,22,22.5,23,23.5,24,24.5,25,25.5,26,26.5,27,27.5,28,28.5,29,29.5,30
2008/2/1,0.5178,0.5535,0.5755,0.5956,0.627,0.6793,0.7441,0.8077,0.8603,0.8997,0.9332,0.9718,1.0211,1.0823,1.148,1.2147,1.2785,1.34,1.3988,1.4548,1.5069,1.5564,1.6014,1.6424,1.6795,1.7156,1.749,1.7832,1.8172,1.8526,1.8886,1.9246,1.9594,1.9935,2.0256,2.0565,2.0851,2.1128,2.1381,2.1617,2.184,2.2054,2.2257,2.2456,2.2646,2.2837,2.3023,2.321,2.339,2.3579,2.3764,2.3942,2.4106,2.4252,2.437,2.4453,2.4496,2.4494,2.444
2008/3/1,0.5349,0.5649,0.5803,0.593,0.6142,0.6499,0.6976,0.7425,0.7724,0.7809,0.78,0.7914,0.8302,0.8953,0.9749,1.0571,1.1367,1.2126,1.2849,1.3537,1.4181,1.479,1.5356,1.5876,1.635,1.6803,1.7232,1.7659,1.8095,1.8551,1.9029,1.9518,2.0008,2.0499,2.0975,2.1429,2.1845,2.2221,2.2543,2.2823,2.3069,2.3289,2.3487,2.3672,2.3846,2.402,2.4196,2.438,2.4575,2.4788,2.5015,2.5242,2.5458,2.5653,2.581,2.5917,2.5961,2.5931,2.5818
2008/4/1,0.6566,0.733,0.8077,0.8769,0.9435,1.0088,1.0697,1.1232,1.1654,1.1969,1.222,1.2521,1.2916,1.3385,1.3911,1.4463,1.5009,1.5562,1.6098,1.6631,1.7139,1.7647,1.8124,1.8561,1.8986,1.9377,1.9748,2.0107,2.0443,2.077,2.108,2.1382,2.1654,2.1925,2.218,2.2418,2.2656,2.2882,2.3106,2.3327,2.3539,2.3751,2.3956,2.4165,2.4361,2.4564,2.4763,2.4954,2.5144,2.5336,2.5521,2.5699,2.586,2.6003,2.6118,2.6201,2.6243,2.624,2.6188
2008/5/1,0.7361,0.8182,0.9036,0.9909,1.0772,1.164,1.2457,1.3157,1.3687,1.4029,1.429,1.4588,1.4996,1.5509,1.6064,1.662,1.7136,1.7621,1.808,1.8518,1.8938,1.9349,1.9748,2.0136,2.0512,2.0877,2.1223,2.1552,2.1852,2.2126,2.2376,2.261,2.2836,2.3062,2.3284,2.3502,2.3711,2.3911,2.4102,2.4279,2.4446,2.4606,2.4759,2.4907,2.5049,2.519,2.5327,2.546,2.5591,2.5722,2.5848,2.5966,2.6071,2.616,2.6228,2.6267,2.6276,2.6249,2.6182
2008/6/1,0.687,0.7428,0.7917,0.8429,0.9006,0.9717,1.0541,1.138,1.203,1.245,1.267,1.2886,1.3189,1.3648,1.4182,1.4753,1.5308,1.5849,1.6344,1.6833,1.7277,1.7722,1.8123,1.8517,1.8876,1.9231,1.9564,1.9893,2.0207,2.0527,2.0838,2.1161,2.1467,2.1795,2.2107,2.2424,2.2711,2.2985,2.3227,2.3448,2.3642,2.3826,2.3989,2.415,2.4292,2.4437,2.4573,2.4712,2.4848,2.4989,2.5127,2.5262,2.5379,2.5482,2.5557,2.56,2.5605,2.5566,2.548
2008/7/1,0.6484,0.71,0.7697,0.8314,0.8947,0.9643,1.0361,1.1003,1.1463,1.1687,1.1793,1.1951,1.2274,1.2805,1.3444,1.412,1.473,1.5287,1.5777,1.6229,1.6653,1.707,1.7485,1.7911,1.8345,1.8798,1.925,1.9718,2.0164,2.0622,2.1062,2.1475,2.1846,2.2172,2.245,2.2701,2.2927,2.3151,2.3367,2.3579,2.3782,2.3979,2.4169,2.4354,2.4528,2.4699,2.486,2.5013,2.5153,2.5288,2.5406,2.5515,2.5607,2.5685,2.5746,2.5786,2.5805,2.5803,2.5777
2008/8/1,0.6021,0.6731,0.7157,0.7463,0.7858,0.8429,0.919,0.9859,1.0222,1.0191,1.0015,0.9968,1.0248,1.0863,1.1672,1.2512,1.3314,1.3964,1.4532,1.502,1.5463,1.5886,1.6316,1.6753,1.7222,1.7697,1.8183,1.8653,1.9115,1.9541,1.9937,2.03,2.0637,2.0944,2.1235,2.1505,2.1766,2.2017,2.2268,2.25,2.2732,2.295,2.3159,2.3359,2.3546,2.3722,2.3888,2.4036,2.4171,2.4289,2.4395,2.4483,2.4559,2.462,2.4668,2.4699,2.4718,2.4722,2.4712
2008/9/1,0.6621,0.7116,0.7624,0.8135,0.8661,0.9213,0.9792,1.0314,1.0693,1.087,1.0945,1.108,1.1396,1.1955,1.2651,1.3392,1.4104,1.4726,1.5249,1.5699,1.6108,1.6501,1.6902,1.7321,1.7782,1.8258,1.8741,1.9218,1.9673,2.0099,2.0489,2.0836,2.1149,2.1425,2.1674,2.1898,2.2108,2.2304,2.2494,2.2675,2.285,2.3017,2.3177,2.333,2.3475,2.3614,2.3747,2.3867,2.3979,2.4082,2.4175,2.4256,2.4325,2.4382,2.4424,2.4448,2.4455,2.4445,2.4414
2008/10/1,0.5038,0.5026,0.5342,0.5893,0.6538,0.719,0.7822,0.8401,0.8903,0.9328,0.9741,1.0232,1.0856,1.1639,1.2513,1.3367,1.4158,1.4835,1.538,1.5838,1.6239,1.6626,1.7022,1.745,1.7937,1.8463,1.901,1.9539,2.003,2.0468,2.084,2.1157,2.1431,2.1677,2.1902,2.2112,2.231,2.2502,2.2687,2.2863,2.3031,2.319,2.3338,2.3474,2.3596,2.3705,2.3798,2.3872,2.3927,2.3962,2.3978,2.3976,2.3955,2.3918,2.3863,2.3791,2.3702,2.3598,2.3478
2008/11/1,0.5565,0.6159,0.6493,0.6725,0.7048,0.7564,0.8255,0.8873,0.9195,0.9138,0.8957,0.8936,0.928,1.0031,1.1024,1.2087,1.3122,1.3992,1.4688,1.5265,1.5766,1.6243,1.673,1.7253,1.7841,1.8462,1.9088,1.9679,2.0212,2.0646,2.0984,2.1244,2.1453,2.1629,2.1784,2.1919,2.2036,2.2139,2.2231,2.2309,2.2379,2.2445,2.2507,2.257,2.2635,2.2705,2.2782,2.2866,2.296,2.3063,2.3169,2.3268,2.3352,2.3416,2.3453,2.3452,2.3409,2.3317,2.3169
2008/12/1,0.333,0.3684,0.3996,0.4292,0.468,0.521,0.5913,0.663,0.7198,0.7507,0.7661,0.7853,0.8236,0.8868,0.965,1.0444,1.1197,1.178,1.225,1.2619,1.2941,1.3258,1.36,1.3984,1.4446,1.4959,1.5502,1.6018,1.6499,1.6896,1.7215,1.7467,1.7668,1.7827,1.7959,1.8063,1.8152,1.8231,1.8306,1.8371,1.8435,1.8495,1.8552,1.8607,1.866,1.8715,1.8769,1.8822,1.8877,1.893,1.8983,1.9029,1.907,1.9102,1.9124,1.9132,1.9126,1.9103,1.9061
2009/1/1,0.3465,0.405,0.4482,0.4817,0.5211,0.5732,0.6415,0.7097,0.7639,0.7961,0.8186,0.8482,0.8986,0.9716,1.0578,1.1451,1.2294,1.2989,1.3565,1.4031,1.4439,1.4829,1.5232,1.5665,1.6165,1.6697,1.7245,1.7756,1.8223,1.8599,1.8896,1.913,1.932,1.9476,1.9612,1.973,1.9838,1.9941,2.0043,2.0138,2.0232,2.0322,2.0407,2.0487,2.0563,2.0633,2.0698,2.0754,2.0804,2.0845,2.0881,2.0909,2.0932,2.0949,2.0961,2.0965,2.0965,2.0959,2.0948
2009/2/1,0.3566,0.3992,0.4248,0.447,0.482,0.5386,0.6161,0.6912,0.7414,0.7591,0.7653,0.784,0.8318,0.9116,1.0043,1.1044,1.1979,1.2784,1.3441,1.3991,1.4465,1.4905,1.5323,1.5756,1.621,1.6693,1.7157,1.7619,1.8041,1.8423,1.8755,1.9045,1.9288,1.9492,1.9658,1.98,1.9919,2.0028,2.0126,2.0216,2.0299,2.0379,2.0455,2.0531,2.0605,2.0683,2.0761,2.0844,2.0927,2.1014,2.1095,2.1168,2.1229,2.1275,2.1299,2.1299,2.127,2.121,2.1116
2009/3/1,0.3222,0.3687,0.4213,0.4804,0.5439,0.6113,0.6809,0.7468,0.8012,0.8407,0.8723,0.9098,0.9634,1.0353,1.1181,1.2031,1.2834,1.3537,1.4125,1.4638,1.5094,1.5515,1.592,1.6334,1.6758,1.7197,1.7638,1.8072,1.8488,1.8871,1.9215,1.9518,1.9772,1.9977,2.0137,2.0265,2.0366,2.0449,2.052,2.0586,2.0647,2.0708,2.0771,2.0841,2.092,2.1008,2.1109,2.1226,2.1359,2.1501,2.1645,2.1782,2.1903,2.1998,2.206,2.2081,2.2052,2.1966,2.182
2009/4/1,0.276,0.318,0.3767,0.449,0.5271,0.608,0.6876,0.7654,0.8361,0.901,0.9612,1.0244,1.0904,1.1609,1.2325,1.3023,1.3665,1.4249,1.4762,1.5238,1.5677,1.6102,1.65,1.6909,1.7317,1.7733,1.8155,1.8583,1.9007,1.9429,1.9829,2.02,2.0507,2.0746,2.0911,2.1037,2.1136,2.1227,2.1323,2.1425,2.1532,2.1645,2.1761,2.1883,2.2007,2.2136,2.2264,2.2395,2.2527,2.2656,2.2773,2.2877,2.2957,2.3006,2.302,2.299,2.2915,2.2785,2.2598
2009/5/1,0.2217,0.2694,0.3407,0.4277,0.5184,0.6041,0.6844,0.7625,0.8414,0.9234,1.0061,1.0889,1.1697,1.2472,1.3204,1.3898,1.4526,1.5095,1.561,1.6086,1.6534,1.6958,1.7365,1.7766,1.8164,1.8566,1.8969,1.9387,1.9806,2.0231,2.0655,2.1059,2.1421,2.173,2.1987,2.2202,2.2383,2.2534,2.2661,2.2771,2.2865,2.2949,2.3026,2.3101,2.3174,2.3247,2.3326,2.3412,2.3506,2.3606,2.37,2.3783,2.3848,2.3886,2.3891,2.3857,2.3778,2.3645,2.3456
2009/6/1,0.2072,0.2539,0.3099,0.3746,0.4424,0.5149,0.5867,0.6613,0.7278,0.7925,0.8504,0.9122,0.9776,1.0493,1.1226,1.1981,1.2692,1.339,1.4008,1.461,1.5147,1.5671,1.615,1.6627,1.7074,1.7516,1.7935,1.8359,1.8766,1.9183,1.957,1.9963,2.0313,2.0644,2.0925,2.1183,2.1402,2.1592,2.1747,2.1883,2.1995,2.21,2.2189,2.2282,2.2371,2.2467,2.2569,2.2687,2.2817,2.2957,2.3088,2.3213,2.3313,2.3382,2.3409,2.3387,2.3309,2.316,2.2944
2009/7/1,0.2098,0.2424,0.2897,0.3506,0.4188,0.4938,0.5745,0.6564,0.7328,0.8026,0.8653,0.9296,0.9988,1.0772,1.1573,1.2409,1.3204,1.3946,1.4609,1.5209,1.5759,1.6275,1.676,1.7242,1.7714,1.8203,1.8669,1.9146,1.9606,2.0049,2.0466,2.0865,2.123,2.1569,2.1869,2.2144,2.2386,2.2599,2.278,2.2938,2.3079,2.3209,2.333,2.3452,2.3575,2.3706,2.3845,2.4005,2.4172,2.4348,2.4513,2.4661,2.478,2.4857,2.4882,2.4845,2.4738,2.4547,2.4273
2009/8/1,0.1867,0.1965,0.2292,0.2779,0.3397,0.4101,0.4882,0.5669,0.6402,0.7035,0.7622,0.8223,0.8907,0.9673,1.0523,1.136,1.2211,1.3009,1.3743,1.4422,1.5063,1.5647,1.6203,1.6719,1.7214,1.768,1.8142,1.8591,1.9043,1.9501,1.9963,2.0401,2.0805,2.1145,2.1432,2.1669,2.1872,2.2033,2.2173,2.2291,2.2394,2.2489,2.2581,2.2674,2.2775,2.2883,2.3008,2.315,2.3313,2.3474,2.3632,2.3771,2.3882,2.3951,2.3969,2.3925,2.381,2.3615,2.333
2009/9/1,0.1887,0.2062,0.2379,0.2818,0.3363,0.3993,0.4697,0.5406,0.608,0.6688,0.7263,0.7878,0.8569,0.9355,1.0203,1.1072,1.1932,1.2748,1.3506,1.421,1.4866,1.5469,1.6037,1.6555,1.7036,1.7487,1.7918,1.8344,1.8773,1.9206,1.9643,2.0059,2.0441,2.0771,2.1057,2.1299,2.1506,2.1681,2.1831,2.1961,2.2077,2.2183,2.2283,2.2385,2.2491,2.2602,2.2725,2.2863,2.3012,2.3164,2.3308,2.3434,2.3534,2.3595,2.3611,2.3571,2.3466,2.3291,2.3041
2009/10/1,0.2108,0.2278,0.2704,0.3296,0.3963,0.4677,0.5417,0.6178,0.6938,0.7717,0.8487,0.9282,1.0088,1.0919,1.1736,1.2536,1.3302,1.403,1.4694,1.5317,1.5888,1.6425,1.6926,1.7402,1.7851,1.829,1.8708,1.9122,1.9536,1.9951,2.0357,2.0752,2.1109,2.1429,2.1705,2.195,2.2156,2.2329,2.2474,2.2598,2.2705,2.2801,2.2889,2.2978,2.3069,2.3166,2.3274,2.3398,2.3535,2.3676,2.3812,2.3935,2.4033,2.4097,2.4117,2.4086,2.3994,2.3833,2.3599
2009/11/1,0.2043,0.2183,0.2342,0.2608,0.3021,0.3602,0.4321,0.5076,0.58,0.6454,0.7083,0.7742,0.8472,0.9277,1.0145,1.1012,1.1861,1.267,1.3416,1.4111,1.4758,1.5352,1.5907,1.642,1.6901,1.7355,1.7797,1.8227,1.866,1.9096,1.9528,1.9931,2.0288,2.0585,2.0831,2.1039,2.1219,2.1371,2.1508,2.1631,2.1744,2.1849,2.1948,2.2046,2.2143,2.224,2.234,2.2445,2.2555,2.2662,2.2761,2.2848,2.2918,2.2963,2.298,2.2963,2.2909,2.2812,2.2668
2009/12/1,0.1528,0.1277,0.1397,0.1836,0.2431,0.3041,0.3673,0.4312,0.4989,0.5709,0.6478,0.73,0.8175,0.9074,1.0022,1.0954,1.1882,1.2707,1.3472,1.4152,1.4772,1.5337,1.5878,1.6392,1.6908,1.7409,1.7914,1.8418,1.8928,1.9423,1.9906,2.0362,2.078,2.1136,2.1444,2.1709,2.1941,2.2139,2.232,2.2476,2.2624,2.2757,2.2883,2.3008,2.3133,2.3257,2.3389,2.3526,2.3671,2.3808,2.3937,2.4047,2.4129,2.4176,2.418,2.4136,2.4035,2.3874,2.3644
2010/1/1,0.1382,0.132,0.1518,0.1933,0.2488,0.3103,0.3799,0.4521,0.5267,0.6029,0.6815,0.7629,0.849,0.9378,1.0317,1.124,1.2158,1.2984,1.3758,1.4449,1.5084,1.5665,1.622,1.6739,1.725,1.774,1.8228,1.8707,1.9189,1.9659,2.0118,2.0554,2.0956,2.1308,2.1621,2.1892,2.213,2.2331,2.2511,2.2663,2.2804,2.293,2.3051,2.3169,2.3291,2.3415,2.355,2.3696,2.385,2.3999,2.4139,2.4255,2.434,2.4383,2.4376,2.4313,2.4181,2.3979,2.3693
2010/2/1,0.1377,0.1355,0.1557,0.1957,0.2493,0.3146,0.3881,0.4642,0.5378,0.6089,0.6783,0.7516,0.8295,0.9178,1.0094,1.1062,1.1994,1.2871,1.3669,1.4403,1.5066,1.5688,1.6261,1.6812,1.7329,1.7842,1.833,1.8811,1.9286,1.9758,2.0215,2.066,2.1069,2.1449,2.1787,2.2094,2.2348,2.2567,2.2746,2.2897,2.3025,2.3139,2.3242,2.3344,2.3446,2.3555,2.3676,2.3817,2.396,2.4108,2.4243,2.4359,2.4445,2.4493,2.4492,2.4435,2.4314,2.4119,2.3847
2010/3/1,0.1427,0.1388,0.1652,0.2178,0.2829,0.3531,0.4247,0.4991,0.5766,0.6587,0.7456,0.8341,0.9251,1.0184,1.113,1.2066,1.2953,1.3778,1.4516,1.5169,1.5756,1.6309,1.6826,1.7329,1.7831,1.834,1.885,1.9342,1.9808,2.0242,2.0639,2.1012,2.1361,2.1703,2.2023,2.232,2.2588,2.2824,2.3025,2.3198,2.3346,2.3477,2.3593,2.3697,2.3793,2.3886,2.3979,2.4076,2.4176,2.4274,2.4362,2.4434,2.4484,2.4508,2.4499,2.4452,2.4364,2.4229,2.4043
2010/4/1,0.1424,0.1438,0.1591,0.188,0.2282,0.2804,0.341,0.409,0.4797,0.5554,0.6325,0.7135,0.7992,0.8908,0.9863,1.0839,1.1765,1.2636,1.3398,1.4075,1.4654,1.52,1.5704,1.619,1.6674,1.717,1.7668,1.8168,1.8654,1.9135,1.9588,2.0022,2.0398,2.074,2.1027,2.1274,2.1484,2.1669,2.1826,2.1965,2.2084,2.2192,2.2286,2.2371,2.2448,2.2521,2.2591,2.2662,2.2729,2.2793,2.2847,2.2887,2.2911,2.2917,2.29,2.2857,2.2786,2.2686,2.2552
2010/5/1,0.1474,0.1612,0.1733,0.1895,0.2186,0.2647,0.3247,0.3912,0.4587,0.5255,0.5936,0.6672,0.7488,0.8429,0.9456,1.0514,1.1544,1.2495,1.3331,1.4047,1.4671,1.5233,1.5749,1.6243,1.6723,1.7208,1.7675,1.8128,1.8565,1.8987,1.9384,1.9759,2.0105,2.0423,2.0712,2.0972,2.1199,2.1398,2.1572,2.1722,2.1851,2.1964,2.206,2.214,2.2207,2.2263,2.231,2.2349,2.2381,2.2405,2.2422,2.2429,2.2427,2.2416,2.2397,2.2367,2.2329,2.2281,2.2222
2010/6/1,0.1444,0.1388,0.1437,0.1592,0.1825,0.2149,0.2522,0.2979,0.3466,0.4027,0.4635,0.5313,0.6048,0.6883,0.7772,0.8744,0.9658,1.0546,1.1281,1.1933,1.2483,1.3003,1.3484,1.397,1.4457,1.4984,1.551,1.605,1.6535,1.7013,1.7429,1.7823,1.8157,1.846,1.8718,1.8945,1.9139,1.9318,1.9471,1.9616,1.9739,1.9857,1.996,2.0057,2.0144,2.0227,2.0304,2.038,2.0449,2.0513,2.0565,2.0606,2.0631,2.0641,2.0633,2.0603,2.0552,2.0478,2.0379
2010/7/1,0.1395,0.1392,0.145,0.1585,0.1818,0.2162,0.2605,0.3109,0.3631,0.4174,0.4734,0.5349,0.6029,0.6824,0.7691,0.8644,0.9564,1.0419,1.1164,1.1784,1.2301,1.2767,1.3196,1.3629,1.4071,1.4554,1.5044,1.5529,1.5999,1.6445,1.6851,1.7221,1.7533,1.7796,1.801,1.8188,1.833,1.8455,1.8562,1.8657,1.8742,1.8821,1.8894,1.8964,1.9033,1.9104,1.9177,1.9256,1.9331,1.9407,1.9474,1.9531,1.9574,1.9602,1.9609,1.9595,1.9556,1.949,1.9395
2010/8/1,0.1229,0.1193,0.1191,0.1246,0.1394,0.1649,0.1997,0.2397,0.2834,0.3283,0.3776,0.4332,0.501,0.5788,0.6726,0.7713,0.8676,0.9555,1.0307,1.0895,1.1388,1.1812,1.2217,1.262,1.3066,1.3541,1.4037,1.4531,1.501,1.5455,1.587,1.6237,1.6559,1.6824,1.7051,1.7235,1.7403,1.7557,1.7704,1.7845,1.7979,1.8107,1.8228,1.8337,1.8439,1.8529,1.8612,1.8681,1.8741,1.879,1.8827,1.885,1.8862,1.886,1.8844,1.8815,1.8771,1.8714,1.8641
2010/9/1,0.1319,0.1295,0.1336,0.1439,0.1598,0.1806,0.2065,0.236,0.2688,0.305,0.3468,0.3964,0.4568,0.5292,0.6156,0.7112,0.8086,0.9028,0.9863,1.0562,1.1151,1.1665,1.2138,1.259,1.3049,1.3534,1.4042,1.4553,1.5068,1.5559,1.6023,1.645,1.6826,1.7147,1.7412,1.763,1.782,1.7991,1.8155,1.8312,1.8465,1.8609,1.8747,1.8876,1.9,1.9116,1.9225,1.9326,1.9416,1.9496,1.9563,1.9611,1.9642,1.9652,1.9641,1.9607,1.9547,1.9461,1.9347
2010/10/1,0.1283,0.1239,0.1331,0.1531,0.1799,0.2088,0.2414,0.2758,0.311,0.3489,0.3912,0.439,0.4961,0.5623,0.6405,0.7249,0.814,0.8999,0.9787,1.0525,1.1187,1.1813,1.2424,1.3016,1.3614,1.4216,1.484,1.5422,1.6011,1.6565,1.7067,1.7542,1.795,1.8304,1.8603,1.885,1.9065,1.9254,1.9435,1.9595,1.9754,1.9905,2.0049,2.0191,2.0335,2.0478,2.0628,2.0777,2.0923,2.1058,2.1179,2.1275,2.134,2.1373,2.1366,2.1315,2.1213,2.1059,2.0843
2010/11/1,0.168,0.1599,0.1863,0.2337,0.284,0.3289,0.3698,0.4138,0.466,0.5289,0.6009,0.6782,0.7611,0.8455,0.9315,1.0168,1.0983,1.1751,1.2452,1.3075,1.3653,1.4199,1.4736,1.5274,1.5834,1.6404,1.6977,1.7532,1.8057,1.8538,1.8976,1.9364,1.9699,1.9981,2.0222,2.0421,2.0596,2.0754,2.0902,2.1041,2.1172,2.1296,2.1413,2.1521,2.1624,2.1721,2.1815,2.1901,2.1978,2.2046,2.2101,2.2139,2.216,2.2161,2.214,2.2096,2.2026,2.1928,2.1802
2010/12/1,0.1521,0.1483,0.1699,0.2056,0.246,0.2836,0.3192,0.3592,0.4094,0.4737,0.5501,0.6309,0.7151,0.7972,0.8789,0.9529,1.0242,1.0896,1.149,1.2011,1.2496,1.2956,1.3428,1.3912,1.444,1.5016,1.5631,1.624,1.6836,1.7401,1.7929,1.8393,1.8796,1.9125,1.9387,1.959,1.9765,1.9915,2.0062,2.0197,2.0322,2.0442,2.0553,2.0651,2.074,2.0818,2.0886,2.0942,2.0988,2.1025,2.1052,2.1067,2.1073,2.1069,2.1056,2.1034,2.1002,2.0963,2.0913
2011/1/1,0.1575,0.1494,0.1884,0.2482,0.3102,0.3613,0.4032,0.4459,0.4969,0.5601,0.6341,0.7124,0.795,0.8768,0.9597,1.0369,1.1127,1.1824,1.2465,1.3037,1.3579,1.4094,1.462,1.5157,1.5739,1.6354,1.6992,1.7608,1.8191,1.8724,1.9204,1.962,1.9976,2.026,2.049,2.0673,2.0836,2.0984,2.1134,2.128,2.1422,2.1563,2.1702,2.1833,2.1961,2.2084,2.2203,2.2312,2.2413,2.2499,2.2568,2.2616,2.2642,2.2643,2.2615,2.2557,2.2465,2.234,2.2173
2011/2/1,0.1821,0.1882,0.2367,0.3025,0.3665,0.4206,0.4666,0.5152,0.5714,0.6398,0.7149,0.7961,0.8755,0.9566,1.0339,1.1074,1.1762,1.2403,1.2971,1.348,1.3939,1.439,1.4839,1.5328,1.5849,1.6417,1.7006,1.7594,1.8152,1.8681,1.9156,1.9588,1.9959,2.0277,2.0532,2.0751,2.0932,2.109,2.1231,2.1357,2.1471,2.1577,2.1675,2.1768,2.1856,2.1947,2.2034,2.2122,2.2203,2.2278,2.234,2.2388,2.2419,2.243,2.2418,2.2381,2.2318,2.2223,2.2098
2011/3/1,0.1599,0.1611,0.1903,0.2423,0.2998,0.3542,0.4013,0.449,0.5034,0.5688,0.644,0.7257,0.8099,0.8951,0.9787,1.0605,1.1397,1.2134,1.2824,1.3462,1.4044,1.4592,1.5121,1.5657,1.6215,1.6805,1.7412,1.8026,1.8606,1.9145,1.9635,2.0075,2.046,2.0781,2.1043,2.1262,2.1445,2.1606,2.1751,2.1887,2.2011,2.2126,2.2236,2.2343,2.2449,2.2556,2.2664,2.2775,2.2882,2.2981,2.3066,2.3136,2.3186,2.3213,2.3213,2.3183,2.3119,2.3016,2.2873
2011/4/1,0.1658,0.1643,0.1903,0.2361,0.2865,0.3342,0.3776,0.4241,0.4787,0.5462,0.6231,0.7055,0.7898,0.8736,0.9541,1.0311,1.1042,1.1733,1.2381,1.3008,1.3577,1.4142,1.4689,1.5242,1.5816,1.6414,1.7023,1.7632,1.8217,1.8769,1.9271,1.9736,2.013,2.0457,2.0722,2.0941,2.1124,2.1287,2.1435,2.1575,2.1706,2.1829,2.1941,2.2052,2.2156,2.2256,2.2354,2.245,2.2538,2.2616,2.2681,2.2732,2.2766,2.2782,2.2776,2.2747,2.2693,2.261,2.2498
2011/5/1,0.1626,0.1465,0.1663,0.2092,0.2577,0.3037,0.3454,0.3903,0.4435,0.5084,0.5832,0.665,0.7476,0.8297,0.9094,0.9858,1.0593,1.1293,1.1956,1.2589,1.3188,1.3768,1.4332,1.4901,1.5461,1.6023,1.6583,1.7136,1.7671,1.8182,1.8653,1.9079,1.9442,1.9736,1.9966,2.0152,2.0311,2.0457,2.0599,2.0738,2.0873,2.1003,2.1127,2.1247,2.1361,2.1472,2.1576,2.1674,2.1762,2.1839,2.1902,2.1951,2.1982,2.1996,2.1989,2.1962,2.191,2.1834,2.1731
2011/6/1,0.1394,0.1391,0.1629,0.2074,0.2558,0.3035,0.3457,0.3886,0.4371,0.4945,0.5606,0.6347,0.7113,0.7907,0.8679,0.9457,1.0198,1.0908,1.1587,1.2236,1.2842,1.343,1.3985,1.454,1.5088,1.5644,1.6174,1.6703,1.7197,1.7657,1.8075,1.8454,1.8787,1.9071,1.9307,1.9515,1.9699,1.9878,2.0047,2.022,2.0386,2.0546,2.0697,2.0843,2.0978,2.1104,2.1217,2.132,2.141,2.1486,2.1546,2.159,2.1617,2.1628,2.162,2.1594,2.1549,2.1482,2.1394
2011/7/1,0.1361,0.1398,0.1575,0.1872,0.2219,0.2591,0.2978,0.3406,0.3885,0.443,0.5031,0.5701,0.6411,0.7192,0.7983,0.8834,0.9681,1.0507,1.1281,1.2005,1.2645,1.324,1.3787,1.4325,1.4856,1.5399,1.5934,1.6461,1.6969,1.7454,1.7894,1.8295,1.8637,1.8914,1.9133,1.9321,1.9483,1.9648,1.9816,1.9989,2.0164,2.0339,2.0507,2.0673,2.0829,2.0977,2.1111,2.1237,2.1347,2.144,2.1517,2.1578,2.162,2.1643,2.1646,2.1629,2.159,2.1525,2.1439
2011/8/1,0.1235,0.1136,0.1286,0.1606,0.199,0.2382,0.2775,0.3186,0.3644,0.4144,0.472,0.5334,0.6029,0.6775,0.7577,0.8426,0.93,1.0137,1.0942,1.1667,1.2328,1.2922,1.3486,1.4012,1.4528,1.5036,1.5542,1.6038,1.6534,1.701,1.7463,1.7873,1.8238,1.8524,1.8768,1.8973,1.9162,1.9351,1.9548,1.975,1.9955,2.0152,2.0346,2.0527,2.07,2.0852,2.099,2.1111,2.1217,2.1306,2.1381,2.144,2.1486,2.1518,2.1537,2.1544,2.1538,2.1518,2.1487
2011/9/1,0.1204,0.1079,0.1301,0.1718,0.2186,0.2623,0.3017,0.3413,0.3847,0.4333,0.4894,0.5516,0.619,0.6898,0.7633,0.8395,0.9145,0.9873,1.0567,1.1213,1.1806,1.2346,1.2851,1.3335,1.381,1.428,1.4759,1.523,1.5697,1.6156,1.6587,1.6979,1.7315,1.7574,1.777,1.7924,1.806,1.8199,1.8357,1.8528,1.8709,1.8894,1.9078,1.9257,1.9427,1.9582,1.9721,1.9845,1.9955,2.0049,2.0129,2.0197,2.0254,2.0301,2.0338,2.0366,2.0386,2.0397,2.0401
2011/10/1,0.1249,0.1186,0.1431,0.1814,0.2257,0.2689,0.3094,0.3524,0.3998,0.4513,0.5097,0.5725,0.6407,0.7116,0.7875,0.8644,0.9394,1.0144,1.0838,1.1485,1.2085,1.2635,1.3165,1.3677,1.4204,1.4711,1.5242,1.5756,1.6237,1.6704,1.7118,1.7492,1.7817,1.8075,1.8287,1.8461,1.8622,1.8772,1.8934,1.91,1.9264,1.9428,1.9592,1.9749,1.9902,2.0046,2.0182,2.0309,2.0429,2.0536,2.063,2.0717,2.0791,2.0854,2.0906,2.0948,2.0977,2.0992,2.0994
2011/11/1,0.1182,0.1123,0.1383,0.1791,0.2245,0.2699,0.3155,0.364,0.4175,0.4763,0.5425,0.6123,0.6846,0.7584,0.8319,0.905,0.9767,1.0449,1.11,1.1706,1.2276,1.2818,1.3354,1.388,1.4418,1.4966,1.5513,1.6037,1.6524,1.6962,1.7352,1.7695,1.7994,1.8237,1.8442,1.8621,1.8783,1.894,1.9095,1.9249,1.94,1.9545,1.9684,1.9816,1.9943,2.0058,2.0165,2.0265,2.0358,2.0444,2.0524,2.0599,2.0669,2.0736,2.0799,2.0861,2.0921,2.0977,2.1032
